COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,DISEASE,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,AREA_PROVIDER_COUNT,AREA_TOTAL_BENEFICIARIES,DEMAND_PROXY,AREA_TOTAL_SERVICES,BENEFICIARIES_PER_PROVIDER,DEMAND_PER_PROVIDER,REQUIRED_PROVIDERS,PROVIDER_SHORTAGE,ADEQUACY_SCORE,DEMAND_PRESSURE_SCORE,SERVICES_PER_BENEFICIARY,UTILIZATION_PRESSURE_SCORE,AREA_RISK_SCORE,RISK_SCORE,ACCESS_LEVEL,RECOMMENDED_ADDITIONAL_PROVIDERS,SUPPLY_SHARE_OF_AREA,SERVICE_CAPACITY_PER_PROVIDER,BENEFICIARIES_PER_SUPPLIED_PROVIDER,SERVICE_INTENSITY,SUPPLY_CAPACITY_RATIO,SUPPLY_PRESSURE_SCORE
26049,MI,Cardiology,Heart Disease,1,4823,16288.1,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.5336,78.67,55.63,28.81,ADEQUATE,0,0.119847,16288.1,4823.0,3.3772,0.114542,25.05
26049,MI,Cardiology,Heart Disease,1,3743,14578.9,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.5336,78.67,55.63,28.81,ADEQUATE,0,0.09301,14578.9,3743.0,3.895,0.102522,6.65
26049,MI,Cardiology,Heart Disease,1,5562,21722.9,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.5336,78.67,55.63,28.81,ADEQUATE,0,0.13821,21722.9,5562.0,3.9056,0.152761,40.83
26049,MI,Cardiology,Heart Disease,1,7361,24079.2,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.5336,78.67,55.63,28.81,ADEQUATE,0,0.182914,24079.2,7361.0,3.2712,0.169331,75.1
26049,MI,Cardiology,Heart Disease,1,6388,17135.1,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.5336,78.67,55.63,28.81,ADEQUATE,0,0.158736,17135.1,6388.0,2.6824,0.120498,58.63
26049,MI,Cardiology,Heart Disease,1,6621,22808.7,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.5336,78.67,55.63,28.81,ADEQUATE,0,0.164526,22808.7,6621.0,3.4449,0.160396,62.68
26049,MI,Cardiology,Heart Disease,1,5745,25589.2,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.5336,78.67,55.63,28.81,ADEQUATE,0,0.142758,25589.2,5745.0,4.4542,0.17995,45.25
26049,MI,Endocrinology,Diabetes,1,8378,37768.4,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,3.6109,80.0,15.41,35.94,ADEQUATE,1,0.171263,37768.4,8378.0,4.508,0.213816,85.38
26049,MI,Endocrinology,Diabetes,1,6941,19476.5,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,3.6109,80.0,15.41,35.94,ADEQUATE,1,0.141888,19476.5,6941.0,2.806,0.110261,68.47
26049,MI,Endocrinology,Diabetes,1,8663,21722.6,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,3.6109,80.0,15.41,35.94,ADEQUATE,1,0.177089,21722.6,8663.0,2.5075,0.122977,87.85
26049,MI,Endocrinology,Diabetes,1,6834,30445.8,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,3.6109,80.0,15.41,35.94,ADEQUATE,1,0.1397,30445.8,6834.0,4.455,0.172361,66.6
26049,MI,Endocrinology,Diabetes,1,4663,19555.6,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,3.6109,80.0,15.41,35.94,ADEQUATE,1,0.095321,19555.6,4663.0,4.1938,0.110709,21.6
26049,MI,Endocrinology,Diabetes,1,7547,27649.8,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,3.6109,80.0,15.41,35.94,ADEQUATE,1,0.154275,27649.8,7547.0,3.6637,0.156532,77.95
26049,MI,Endocrinology,Diabetes,1,5893,20020.8,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,3.6109,80.0,15.41,35.94,ADEQUATE,1,0.120464,20020.8,5893.0,3.3974,0.113343,48.4
26049,MI,Psychiatry,Mental Health Disorders,1,11719,53253.3,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,3.5364,100.0,31.05,57.99,LOW GAP,3,0.203007,53253.3,11719.0,4.5442,0.260857,99.1
26049,MI,Psychiatry,Mental Health Disorders,1,9399,33628.9,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,3.5364,100.0,31.05,57.99,LOW GAP,3,0.162818,33628.9,9399.0,3.5779,0.164729,92.1
26049,MI,Psychiatry,Mental Health Disorders,1,9649,25500.7,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,3.5364,100.0,31.05,57.99,LOW GAP,3,0.167149,25500.7,9649.0,2.6428,0.124913,92.95
26049,MI,Psychiatry,Mental Health Disorders,1,6515,17079.9,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,3.5364,100.0,31.05,57.99,LOW GAP,3,0.112859,17079.9,6515.0,2.6216,0.083665,61.2
26049,MI,Psychiatry,Mental Health Disorders,1,12239,37908.9,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,3.5364,100.0,31.05,57.99,LOW GAP,3,0.212015,37908.9,12239.0,3.0974,0.185694,99.4
26049,MI,Psychiatry,Mental Health Disorders,1,8206,36775.4,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,3.5364,100.0,31.05,57.99,LOW GAP,3,0.142152,36775.4,8206.0,4.4815,0.180142,83.85
26049,MI,Pulmonary,Respiratory Disease,1,4064,18529.5,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,4.0061,96.0,66.75,32.41,ADEQUATE,0,0.101791,18529.5,4064.0,4.5594,0.11585,10.7
26049,MI,Pulmonary,Respiratory Disease,1,8061,33143.6,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,4.0061,96.0,66.75,32.41,ADEQUATE,0,0.201904,33143.6,8061.0,4.1116,0.20722,82.18
26049,MI,Pulmonary,Respiratory Disease,1,4727,19922.3,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,4.0061,96.0,66.75,32.41,ADEQUATE,0,0.118397,19922.3,4727.0,4.2146,0.124558,22.68
